KernelID,SMnum,Blocknum,BlockID,SMID,Start_time,End_time
4,2,160,31,1,315339.375000,365339.375000
4,2,160,32,1,365339.531250,415339.500000
4,2,160,33,1,365339.531250,415339.500000
4,2,160,34,0,365339.531250,415339.500000
4,2,160,35,1,365339.531250,415339.500000
4,2,160,36,0,365339.531250,415339.500000
4,2,160,37,0,365339.531250,415339.500000
4,2,160,38,0,365339.531250,415339.500000
4,2,160,39,1,365339.531250,415339.500000
4,2,160,40,0,365339.531250,415339.500000
4,2,160,41,0,365339.531250,415339.500000
4,2,160,42,0,365339.531250,415339.500000
4,2,160,43,1,365339.531250,415339.500000
4,2,160,44,1,365339.531250,415339.500000
4,2,160,45,0,365339.531250,415339.500000
4,2,160,46,0,365339.531250,415339.500000
4,2,160,47,1,365339.531250,415339.500000
4,2,160,48,1,365339.531250,415339.500000
4,2,160,49,1,365339.531250,415339.500000
4,2,160,50,1,365339.531250,415339.500000
4,2,160,51,1,365339.531250,415339.500000
4,2,160,52,0,365339.531250,415339.500000
4,2,160,53,1,365339.531250,415339.500000
4,2,160,54,1,365339.531250,415339.500000
4,2,160,55,1,365339.531250,415339.500000
4,2,160,56,0,365339.531250,415339.500000
4,2,160,57,1,365339.531250,415339.500000
4,2,160,58,0,365339.531250,415339.500000
4,2,160,59,0,365339.531250,415339.500000
4,2,160,60,1,365339.531250,415339.500000
4,2,160,61,0,365339.531250,415339.500000
4,2,160,62,0,365339.531250,415339.500000
4,2,160,63,0,365339.531250,415339.500000
4,2,160,64,0,415339.625000,465339.593750
4,2,160,65,0,415339.625000,465339.593750
4,2,160,66,1,415339.625000,465339.593750
4,2,160,67,0,415339.625000,465339.593750
4,2,160,68,0,415339.625000,465339.593750
4,2,160,69,1,415339.625000,465339.593750
4,2,160,70,1,415339.625000,465339.593750
4,2,160,71,0,415339.625000,465339.593750
4,2,160,72,1,415339.625000,465339.593750
4,2,160,73,1,415339.625000,465339.593750
4,2,160,74,0,415339.625000,465339.593750
4,2,160,75,0,415339.625000,465339.593750
4,2,160,76,1,415339.625000,465339.593750
4,2,160,77,1,415339.625000,465339.593750
4,2,160,78,1,415339.625000,465339.593750
4,2,160,79,0,415339.625000,465339.593750
4,2,160,80,1,415339.625000,465339.593750
4,2,160,81,1,415339.625000,465339.593750
4,2,160,82,0,415339.625000,465339.593750
4,2,160,83,1,415339.625000,465339.593750
