Index,Exec_time,stride,inner_cycle,out_cycle,hit_rate
326,3020005,1024,676,100,56.85
327,3020276,1024,676,100,68.28
328,3020190,1024,676,100,22.89
329,3021747,1024,676,100,37.48
330,3020343,1024,676,100,71.71
331,3020416,1024,676,100,1,209.75
332,3022519,1024,676,100,9.84
333,3021608,1024,676,100,23.86
334,3020856,1024,676,100,2.21
335,3019790,1024,676,100,58.19
336,3021101,1024,676,100,3.60
337,3020493,1024,676,100,29.78
338,3020960,1024,676,100,69.76
339,3020218,1024,676,100,379.00
340,3020941,1024,676,100,75.29
341,3021922,1024,676,100,21.80
342,3021296,1024,676,100,162.08
343,3019205,1024,676,100,24.35
344,3021334,1024,676,100,106.56
345,3019808,1024,676,100,43.52
346,3019684,1024,676,100,16.00
347,3028100,1024,676,100,5.37
348,3020988,1024,676,100,76.99
349,3020465,1024,676,100,60.79
350,3020388,1024,676,100,68.39
351,3021627,1024,676,100,19.98
352,3020085,1024,676,100,2.96
353,3020966,1024,676,100,39.91
354,3020647,1024,676,100,42.04
355,3020419,1024,676,100,1,295.13
356,3021361,1024,676,100,3.06
357,3022410,1024,676,100,3.72
358,3019540,1024,676,100,230.05
359,3020373,1024,676,100,24.97
360,3020301,1024,676,100,6.80
361,3021096,1024,676,100,25.37
362,3021168,1024,676,100,30.05
363,3020637,1024,676,100,5.38
364,3020284,1024,676,100,29.64
365,3019733,1024,676,100,7.79
366,3021740,1024,676,100,20.79
367,3021577,1024,676,100,73.50
368,3020121,1024,676,100,11.27
369,3021547,1024,676,100,2.91
370,3021167,1024,676,100,6.54
371,3020774,1024,676,100,128.43
372,3021108,1024,676,100,161.28
373,3019832,1024,676,100,75.69
374,3020391,1024,676,100,6.88
375,3019650,1024,676,100,537.90
376,3021114,1024,676,100,746.96
377,3020853,1024,676,100,31.37
378,3022280,1024,676,100,49.35
379,3021849,1024,676,100,58.46
380,3024613,1024,676,100,143.44
381,3020679,1024,676,100,34.32
382,3022096,1024,676,100,157.36
383,3020785,1024,676,100,76.47
384,3021038,1024,676,100,69.80
385,3020927,1024,676,100,7.83
386,3020363,1024,676,100,7.17
387,3021456,1024,676,100,146.95
388,3020579,1024,676,100,233.69
389,3020623,1024,676,100,2.07
390,3021019,1024,676,100,22.59
391,3019982,1024,676,100,14.49
392,3020126,1024,676,100,20.01
393,3020270,1024,676,100,4.17
394,3020997,1024,676,100,807.69
395,3020009,1024,676,100,126.20
396,3020610,1024,676,100,63.77
397,3022514,1024,676,100,8.30
398,3021278,1024,676,100,44.04
399,3019841,1024,676,100,78.94
400,3020333,1024,676,100,42.25
401,3021253,1024,676,100,620.54
402,3019924,1024,676,100,448.25
403,3026102,1024,676,100,36.77
404,3020777,1024,676,100,3.71
405,3020723,1024,676,100,66.61
406,3020446,1024,676,100,1,655.43
407,3020218,1024,676,100,76.73
408,3020256,1024,676,100,1,660.74
409,3020777,1024,676,100,17.18
410,3020239,1024,676,100,58.22
411,3022078,1024,676,100,63.64
412,3020962,1024,676,100,994.41
413,3022761,1024,676,100,4.80
414,3020988,1024,676,100,64.49
415,3021592,1024,676,100,96.42
416,3027534,1024,676,100,40.72
417,3020943,1024,676,100,111.00
418,3019566,1024,676,100,64.00
419,3021346,1024,676,100,248.30
420,3020690,1024,676,100,198.03
421,3020065,1024,676,100,2.44
