Index,Exec_time,addr,GPU_addr
159,3667.498535,0x7f54d0000000,0x7f53c8000000
160,3671.361572,0x7efc12000000,0x7efb10000000
161,3661.135986,0x7f928e000000,0x7f9186000000
162,3676.608887,0x7f5418000000,0x7f5316000000
163,3671.838867,0x7f5432000000,0x7f5330000000
164,3667.919189,0x7fe80e000000,0x7fe70c000000
165,3668.053711,0x7f3bc2000000,0x7f3aba000000
166,3669.152832,0x7f123e000000,0x7f113c000000
167,3669.278809,0x7f7a28000000,0x7f7920000000
168,3667.370117,0x7efbc0000000,0x7efabe000000
169,3667.090088,0x7f8f72000000,0x7f8e6a000000
170,3668.909668,0x7f77e0000000,0x7f76de000000
171,3676.952637,0x7fcfe2000000,0x7fceda000000
172,3672.347656,0x7faea0000000,0x7fad98000000
173,3666.291504,0x7efd9e000000,0x7efc9c000000
174,3667.319336,0x7ff1c2000000,0x7ff0ba000000
175,3665.714600,0x7f1a1e000000,0x7f1916000000
176,3665.112061,0x7f9ee2000000,0x7f9de0000000
177,3676.442139,0x7f8428000000,0x7f8320000000
178,3665.902832,0x7fd570000000,0x7fd468000000
179,3674.168945,0x7f9c5e000000,0x7f9b5c000000
180,3667.767334,0x7f01f8000000,0x7f00f6000000
181,3680.803711,0x7f8140000000,0x7f8038000000
182,3672.281006,0x7f8a82000000,0x7f8980000000
183,3671.631104,0x7fb202000000,0x7fb100000000
184,3666.356689,0x7fc1f0000000,0x7fc0ee000000
185,3672.494385,0x7f98c2000000,0x7f97ba000000
186,3668.933105,0x7f995a000000,0x7f9858000000
187,3673.905518,0x7f40f8000000,0x7f3ff0000000
188,3667.975098,0x7fa288000000,0x7fa180000000
189,3675.020996,0x7fd868000000,0x7fd766000000
190,3668.607666,0x7fc3b0000000,0x7fc2a8000000
191,3667.452393,0x7fc182000000,0x7fc07a000000
192,3666.739502,0x7fa9d8000000,0x7fa8d0000000
193,3674.562500,0x7f027c000000,0x7f0174000000
194,3676.106934,0x7fb6fe000000,0x7fb5f6000000
195,3671.407471,0x7f1d28000000,0x7f1c26000000
196,3672.532715,0x7f32b8000000,0x7f31b6000000
197,3672.960693,0x7f2dc0000000,0x7f2cbe000000
198,3670.855469,0x7fe6be000000,0x7fe5bc000000
199,3663.768799,0x7ff480000000,0x7ff37e000000
200,3668.506592,0x7fe12a000000,0x7fe022000000
201,3672.614014,0x7f82d8000000,0x7f81d0000000
202,3674.051514,0x7feab8000000,0x7fe9b6000000
203,3669.044678,0x7f8398000000,0x7f8296000000
204,3665.086670,0x7f809e000000,0x7f7f96000000
205,3667.959229,0x7fccc8000000,0x7fcbc0000000
206,3675.127686,0x7fa38c000000,0x7fa28a000000
207,3662.485840,0x7f3f7c000000,0x7f3e7a000000
208,3669.263672,0x7f4602000000,0x7f4500000000
209,3674.804199,0x7f9602000000,0x7f9500000000
210,3666.641846,0x7f65d8000000,0x7f64d0000000
211,3670.656738,0x7fb1c8000000,0x7fb0c0000000
212,3666.135742,0x7f6590000000,0x7f648e000000
213,3667.248779,0x7f8640000000,0x7f8538000000
214,3668.132568,0x7f3b8a000000,0x7f3a82000000
215,3673.258789,0x7f660c000000,0x7f6504000000
216,3668.303711,0x7fabd8000000,0x7faad6000000
217,3672.608154,0x7f48e0000000,0x7f47d8000000
218,3669.401855,0x7f414c000000,0x7f4044000000
219,3674.478027,0x7f1c18000000,0x7f1b16000000
220,3670.737793,0x7f5d1c000000,0x7f5c14000000
221,3674.627686,0x7f76be000000,0x7f75b6000000
222,3672.831299,0x7f2ca2000000,0x7f2ba0000000
223,3670.165527,0x7fad32000000,0x7fac30000000
224,3665.599365,0x7f5452000000,0x7f534a000000
225,3667.292725,0x7f91d8000000,0x7f90d6000000
226,3668.378418,0x7f636e000000,0x7f626c000000
227,3668.269287,0x7f9398000000,0x7f9290000000
228,3670.650635,0x7f9026000000,0x7f8f1e000000
229,3675.524170,0x7f61dc000000,0x7f60da000000
230,3667.010986,0x7fadb2000000,0x7facb0000000
231,3674.984375,0x7ff9a2000000,0x7ff89a000000
232,3670.173340,0x7feebe000000,0x7fedbc000000
233,3671.775635,0x7ff418000000,0x7ff316000000
234,3670.142578,0x7f2e68000000,0x7f2d60000000
235,3665.533447,0x7f9650000000,0x7f954e000000
236,3669.892334,0x7f4bf2000000,0x7f4af0000000
237,3668.751953,0x7fc400000000,0x7fc2f8000000
238,3669.698975,0x7fb55e000000,0x7fb45c000000
239,3666.254639,0x7f44bc000000,0x7f43b4000000
240,3667.749023,0x7fe128000000,0x7fe020000000
241,3667.153809,0x7fe63e000000,0x7fe53c000000
242,3666.757568,0x7fc242000000,0x7fc13a000000
243,3670.094727,0x7fc43e000000,0x7fc33c000000
244,3669.781738,0x7fef3c000000,0x7fee3a000000
245,3670.798584,0x7ff66c000000,0x7ff56a000000
246,3668.555908,0x7f5370000000,0x7f5268000000
247,3670.845703,0x7faeb0000000,0x7fada8000000
248,3673.413818,0x7f1382000000,0x7f1280000000
249,3663.559570,0x7fe5b2000000,0x7fe4aa000000
250,3666.781494,0x7f3810000000,0x7f3708000000
251,3669.169678,0x7f30be000000,0x7f2fbc000000
252,3668.014893,0x7f3dc0000000,0x7f3cbe000000
253,3675.137451,0x7f1908000000,0x7f1800000000
254,3673.361816,0x7fdd18000000,0x7fdc16000000
255,3674.478760,0x7fc09e000000,0x7fbf9c000000
256,3673.405029,0x7fcad2000000,0x7fc9d0000000
257,3669.517334,0x7fe4ae000000,0x7fe3a6000000
258,3664.778320,0x7f2180000000,0x7f207e000000
259,3667.670898,0x7f75e0000000,0x7f74d8000000
260,3669.125732,0x7fa6ca000000,0x7fa5c8000000
261,3674.928711,0x7f1a38000000,0x7f1936000000
262,3669.278564,0x7f8832000000,0x7f8732000000
263,3676.227539,0x7f5dd0000000,0x7f5cc8000000
264,3664.685791,0x7fbd32000000,0x7fbc2a000000
265,3667.901611,0x7ff23e000000,0x7ff13c000000
266,3668.351318,0x7f1400000000,0x7f12f8000000
267,3668.285400,0x7f04e8000000,0x7f03e6000000
268,3668.210693,0x7f9008000000,0x7f8f06000000
269,3666.437500,0x7f817e000000,0x7f8076000000
270,3674.649658,0x7fb1f8000000,0x7fb0f0000000
271,3668.269531,0x7f34ac000000,0x7f33aa000000
272,3669.843018,0x7fb018000000,0x7faf10000000
273,3666.901611,0x7fd61a000000,0x7fd512000000
274,3667.344482,0x7eff40000000,0x7efe3e000000
275,3671.488281,0x7f1df0000000,0x7f1ce8000000
276,3674.708252,0x7ff57a000000,0x7ff472000000
277,3670.317383,0x7f54a2000000,0x7f539a000000
278,3667.666260,0x7f3b58000000,0x7f3a50000000
279,3668.992676,0x7ff132000000,0x7ff02a000000
280,3666.390625,0x7faec2000000,0x7fadc0000000
281,3675.931396,0x7f9b6e000000,0x7f9a6c000000
282,3670.133057,0x7f368e000000,0x7f3586000000
283,3673.338623,0x7f3b28000000,0x7f3a20000000
284,3668.607910,0x7f1e1e000000,0x7f1d1c000000
285,3668.727539,0x7fd7bc000000,0x7fd6ba000000
286,3672.281250,0x7fb79e000000,0x7fb69c000000
287,3668.040771,0x7f4658000000,0x7f4550000000
288,3667.942139,0x7f6c78000000,0x7f6b70000000
289,3674.451416,0x7f7b6e000000,0x7f7a6c000000
290,3668.501709,0x7fe758000000,0x7fe656000000
291,3674.386719,0x7f2f22000000,0x7f2e20000000
292,3681.111328,0x7f254e000000,0x7f244c000000
293,3669.516357,0x7fee38000000,0x7fed30000000
294,3669.718750,0x7fc72e000000,0x7fc62c000000
295,3665.937500,0x7f5370000000,0x7f526e000000
296,3669.076660,0x7f86aa000000,0x7f85a2000000
297,3675.145508,0x7fbbd2000000,0x7fbad0000000
298,3672.576660,0x7f4fce000000,0x7f4ec6000000
299,3669.270020,0x7fd812000000,0x7fd70a000000
300,3669.427490,0x7f2b50000000,0x7f2a4e000000
301,3669.290039,0x7f35ae000000,0x7f34ac000000
302,3674.202637,0x7f70f0000000,0x7f6fee000000
303,3667.538818,0x7f734e000000,0x7f724c000000
304,3669.788086,0x7fc6a0000000,0x7fc59e000000
305,3669.537354,0x7fb08c000000,0x7faf8a000000
306,3674.747314,0x7fc260000000,0x7fc15e000000
307,3665.364746,0x7f5160000000,0x7f505e000000
308,3669.921631,0x7ff160000000,0x7ff058000000
309,3668.346680,0x7fbf52000000,0x7fbe4a000000
310,3676.265137,0x7fada8000000,0x7faca6000000
311,3669.783936,0x7fbd58000000,0x7fbc56000000
312,3670.798584,0x7fc518000000,0x7fc410000000
313,3674.640137,0x7f1a2c000000,0x7f1924000000
314,3669.150146,0x7faef2000000,0x7fadf0000000
315,3669.084229,0x7fb1be000000,0x7fb0bc000000
316,3675.720703,0x7f17a8000000,0x7f16a6000000
317,3673.859131,0x7fade0000000,0x7facde000000
318,3669.405762,0x7f7690000000,0x7f7588000000
319,3667.464355,0x7f9daa000000,0x7f9ca8000000
320,3670.934326,0x7f8612000000,0x7f8510000000
321,3672.702393,0x7ff8d6000000,0x7ff7ce000000
322,3670.009033,0x7ff562000000,0x7ff460000000
323,3669.026367,0x7f2e40000000,0x7f2d38000000
324,3666.617432,0x7f1550000000,0x7f1448000000
325,3669.841064,0x7f6628000000,0x7f6520000000
326,3668.251221,0x7fb432000000,0x7fb32a000000
327,3668.953857,0x7fdd70000000,0x7fdc6e000000
328,3666.249268,0x7f6c6e000000,0x7f6b66000000
329,3673.032471,0x7efca8000000,0x7efba6000000
330,3664.328369,0x7f6112000000,0x7f6010000000
331,3674.469238,0x7f578e000000,0x7f5686000000
332,3669.989502,0x7f0350000000,0x7f0248000000
333,3670.466553,0x7f4fa8000000,0x7f4ea0000000
334,3670.096924,0x7fb870000000,0x7fb768000000
335,3666.606689,0x7f9fb0000000,0x7f9eae000000
336,3672.257324,0x7f2c08000000,0x7f2b06000000
337,3665.887207,0x7f9fde000000,0x7f9edc000000
338,3669.662598,0x7f19a0000000,0x7f1898000000
339,3674.140625,0x7f3c02000000,0x7f3afa000000
340,3666.278809,0x7fb7a0000000,0x7fb69e000000
341,3665.704834,0x7f66ae000000,0x7f65ac000000
342,3673.279785,0x7f91fe000000,0x7f90f6000000
343,3670.385254,0x7f9e48000000,0x7f9d46000000
344,3673.037354,0x7f510a000000,0x7f5002000000
345,3668.860596,0x7f5b40000000,0x7f5a3e000000
346,3669.541992,0x7fb792000000,0x7fb690000000
347,3668.384033,0x7fc78c000000,0x7fc68a000000
348,3673.342285,0x7facc2000000,0x7fabc0000000
349,3669.280273,0x7f418e000000,0x7f4086000000
350,3663.390137,0x7f0392000000,0x7f0290000000
