Index,Exec_time,addr,GPU_addr
217,798.719971,0x7faf5c000000,0x7fae54000000
218,733.760010,0x7f7f50000000,0x7f7e48000000
219,742.080017,0x7efcb2000000,0x7efbaa000000
220,736.960022,0x7f15e2000000,0x7f14e0000000
221,801.919983,0x7f1b02000000,0x7f1a00000000
222,727.680054,0x7f9482000000,0x7f9380000000
223,725.440002,0x7ff1d2000000,0x7ff0d0000000
224,734.400024,0x7f9712000000,0x7f9610000000
225,733.119995,0x7f521e000000,0x7f5116000000
226,745.600037,0x7fa4ce000000,0x7fa3cc000000
227,810.559998,0x7feb42000000,0x7fea3a000000
228,728.640015,0x7f0938000000,0x7f0836000000
229,729.599976,0x7f36b0000000,0x7f35a8000000
230,732.479980,0x7f0bb2000000,0x7f0ab0000000
231,733.440002,0x7f30f0000000,0x7f2fee000000
232,739.839966,0x7f2200000000,0x7f20f8000000
233,733.440002,0x7f629e000000,0x7f619c000000
234,726.080017,0x7fdc80000000,0x7fdb7e000000
235,734.400024,0x7f0052000000,0x7eff50000000
236,780.159973,0x7f835e000000,0x7f825c000000
237,748.160034,0x7fcb7c000000,0x7fca7a000000
238,750.399963,0x7fc8e0000000,0x7fc7d8000000
239,720.319946,0x7f036e000000,0x7f0266000000
240,728.640015,0x7f267e000000,0x7f2576000000
241,770.239990,0x7f1f40000000,0x7f1e38000000
242,739.839966,0x7f8790000000,0x7f8688000000
243,735.679993,0x7ff708000000,0x7ff600000000
244,786.240051,0x7fe868000000,0x7fe760000000
245,736.000000,0x7ff910000000,0x7ff80e000000
246,735.679993,0x7fcb92000000,0x7fca8a000000
247,732.159973,0x7f73c0000000,0x7f72be000000
248,737.600037,0x7fd312000000,0x7fd210000000
249,730.880005,0x7fbab2000000,0x7fb9b0000000
250,727.680054,0x7ff24e000000,0x7ff146000000
251,735.040039,0x7f1198000000,0x7f1096000000
252,730.239990,0x7f31d0000000,0x7f30ce000000
253,728.960022,0x7f9ad2000000,0x7f99ca000000
254,733.760010,0x7f3482000000,0x7f337a000000
255,807.359985,0x7fe338000000,0x7fe230000000
256,733.760010,0x7effe2000000,0x7efeda000000
257,736.320007,0x7fedde000000,0x7fecd6000000
258,737.280029,0x7f0fae000000,0x7f0ea6000000
259,760.320007,0x7f9d30000000,0x7f9c2e000000
260,732.799988,0x7f70ae000000,0x7f6fa6000000
261,732.799988,0x7f4e20000000,0x7f4d18000000
262,736.640015,0x7f76ee000000,0x7f75ec000000
263,734.720032,0x7f0872000000,0x7f0770000000
264,728.960022,0x7fcdb8000000,0x7fccb0000000
265,730.559998,0x7f4f38000000,0x7f4e30000000
266,728.960022,0x7fd2a2000000,0x7fd1a0000000
267,733.119995,0x7fa486000000,0x7fa384000000
268,730.559998,0x7f58be000000,0x7f57b6000000
269,732.479980,0x7f0140000000,0x7f0038000000
270,730.880005,0x7f24f0000000,0x7f23ee000000
271,796.800049,0x7f2512000000,0x7f240a000000
272,737.600037,0x7f373e000000,0x7f3636000000
273,740.799988,0x7fc788000000,0x7fc686000000
274,727.040039,0x7fa6a8000000,0x7fa5a0000000
275,791.039978,0x7f912e000000,0x7f9026000000
276,728.960022,0x7f4668000000,0x7f4566000000
277,737.600037,0x7f3b7a000000,0x7f3a72000000
278,804.160034,0x7fecfc000000,0x7febfa000000
279,731.519958,0x7fab32000000,0x7faa30000000
280,726.400024,0x7fb2a2000000,0x7fb1a0000000
281,733.760010,0x7f7666000000,0x7f7564000000
282,737.920044,0x7f8422000000,0x7f831a000000
283,819.199951,0x7f20d2000000,0x7f1fca000000
284,744.320007,0x7f7058000000,0x7f6f56000000
285,741.440002,0x7f7d60000000,0x7f7c5e000000
286,738.560059,0x7f813e000000,0x7f803c000000
287,740.159973,0x7fe6d8000000,0x7fe5d6000000
288,737.280029,0x7fad90000000,0x7fac8e000000
289,736.640015,0x7f4022000000,0x7f3f1a000000
290,736.640015,0x7f3e0e000000,0x7f3d0c000000
291,742.080017,0x7f6fe2000000,0x7f6eda000000
292,739.199951,0x7fcb70000000,0x7fca68000000
293,726.080017,0x7f6b9e000000,0x7f6a9c000000
294,726.720032,0x7f84ac000000,0x7f83a4000000
295,735.679993,0x7fcf10000000,0x7fce0e000000
296,731.839966,0x7fcecc000000,0x7fcdca000000
297,729.279968,0x7f13b8000000,0x7f12b0000000
298,809.919983,0x7fa400000000,0x7fa2fe000000
299,705.600037,0x7f88f0000000,0x7f87ee000000
300,801.279968,0x7fc512000000,0x7fc40a000000
301,730.239990,0x7f41a2000000,0x7f40a0000000
302,726.080017,0x7fe8a0000000,0x7fe798000000
303,731.839966,0x7f3df2000000,0x7f3cea000000
304,802.559998,0x7fe1b2000000,0x7fe0b0000000
305,730.239990,0x7f7c7e000000,0x7f7b76000000
306,733.760010,0x7fa322000000,0x7fa21a000000
307,733.119995,0x7fa51e000000,0x7fa41c000000
308,731.839966,0x7efc72000000,0x7efb6a000000
309,722.559998,0x7f50a8000000,0x7f4fa6000000
310,728.000000,0x7fc10c000000,0x7fc00a000000
311,735.679993,0x7f7312000000,0x7f7210000000
312,738.560059,0x7fb2ee000000,0x7fb1ec000000
313,728.640015,0x7f12c2000000,0x7f11ba000000
314,792.640015,0x7f60b2000000,0x7f5fb0000000
315,712.640015,0x7fd8ae000000,0x7fd7ac000000
316,733.119995,0x7ff900000000,0x7ff7f8000000
317,739.199951,0x7f28b8000000,0x7f27b6000000
318,730.559998,0x7fd65e000000,0x7fd556000000
319,739.519958,0x7fdd88000000,0x7fdc86000000
320,736.640015,0x7f60f0000000,0x7f5fee000000
321,734.400024,0x7f4162000000,0x7f405a000000
322,731.839966,0x7f810e000000,0x7f8006000000
323,743.039978,0x7f91e2000000,0x7f90e0000000
324,726.400024,0x7efe8e000000,0x7efd86000000
325,726.080017,0x7fe760000000,0x7fe65e000000
