Index,Exec_time,addr,GPU_addr
158,73.632004,0x7f1d50000000,0x7f1c48000000
159,73.536003,0x7fdade000000,0x7fd9dc000000
160,73.407997,0x7f184c000000,0x7f174a000000
161,72.608002,0x7f9df8000000,0x7f9cf0000000
162,71.520004,0x7ff3ae000000,0x7ff2ac000000
163,73.760002,0x7fcc10000000,0x7fcb08000000
164,73.344002,0x7fb588000000,0x7fb486000000
165,73.440002,0x7faace000000,0x7fa9cc000000
166,70.496002,0x7ff8dc000000,0x7ff7d4000000
167,75.808006,0x7fd3a2000000,0x7fd29a000000
168,73.023994,0x7f0050000000,0x7eff4e000000
169,73.119995,0x7f29c8000000,0x7f28c0000000
170,82.176003,0x7fc6fa000000,0x7fc5f8000000
171,72.832001,0x7f5f28000000,0x7f5e26000000
172,73.856003,0x7f45a2000000,0x7f449a000000
173,74.688004,0x7fb056000000,0x7faf54000000
174,72.991997,0x7fc4c8000000,0x7fc3c6000000
175,73.056000,0x7f96a2000000,0x7f959a000000
176,79.871994,0x7ff66a000000,0x7ff568000000
177,80.223999,0x7f6d68000000,0x7f6c60000000
178,73.279999,0x7f738e000000,0x7f7286000000
179,73.248001,0x7fe1cc000000,0x7fe0ca000000
180,73.983994,0x7f8200000000,0x7f80fe000000
181,73.568001,0x7f87a2000000,0x7f86a0000000
182,73.311996,0x7f89be000000,0x7f88bc000000
183,78.624001,0x7f41e2000000,0x7f40e0000000
184,73.152000,0x7f4d18000000,0x7f4c16000000
185,73.279999,0x7f5688000000,0x7f5580000000
186,74.015999,0x7f0e10000000,0x7f0d08000000
187,73.568001,0x7f0602000000,0x7f0502000000
188,74.143997,0x7f1fcc000000,0x7f1eca000000
189,80.031998,0x7fbd22000000,0x7fbc1a000000
190,73.632004,0x7f7878000000,0x7f7776000000
191,70.751999,0x7f7b88000000,0x7f7a86000000
192,73.407997,0x7ff36e000000,0x7ff266000000
193,72.800003,0x7feeca000000,0x7fedc2000000
194,73.023994,0x7fb868000000,0x7fb760000000
195,73.568001,0x7fcee2000000,0x7fcdda000000
