Index,Exec_time,stride,inner_cycle,out_cycle,hit_rate
397,2801057,1024,626,100,21.09
398,2801064,1024,626,100,43.53
399,2800199,1024,626,100,4.56
400,2800030,1024,626,100,25.98
401,2800290,1024,626,100,10.63
402,2800375,1024,626,100,18.38
403,2799947,1024,626,100,3.93
404,2800376,1024,626,100,6.38
405,2800044,1024,626,100,15.84
406,2800532,1024,626,100,14.39
407,2799913,1024,626,100,79.06
408,2800437,1024,626,100,87.90
409,2800156,1024,626,100,9.64
410,2800528,1024,626,100,15.78
411,2799938,1024,626,100,225.36
412,2800177,1024,626,100,9.85
413,2799906,1024,626,100,26.58
414,2799294,1024,626,100,11.50
415,2800582,1024,626,100,38.73
416,2799808,1024,626,100,21.35
417,2800198,1024,626,100,21.49
418,2800260,1024,626,100,3.18
419,2799970,1024,626,100,75.06
420,2800520,1024,626,100,25.04
421,2799574,1024,626,100,3.27
422,2800071,1024,626,100,73.39
423,2799274,1024,626,100,13.90
424,2800700,1024,626,100,42.59
425,2799534,1024,626,100,34.26
426,2800151,1024,626,100,53.78
427,2800955,1024,626,100,14.73
428,2800042,1024,626,100,35.09
429,2800367,1024,626,100,13.00
430,2800690,1024,626,100,18.33
431,2800734,1024,626,100,28.11
432,2801222,1024,626,100,21.99
433,2800137,1024,626,100,20.79
434,2800142,1024,626,100,29.63
435,2800529,1024,626,100,52.93
436,2800705,1024,626,100,64.86
437,2800363,1024,626,100,5.86
438,2800734,1024,626,100,13.72
439,2799296,1024,626,100,5.61
440,2799813,1024,626,100,83.33
441,2799894,1024,626,100,13.07
442,2799799,1024,626,100,3.74
443,2799906,1024,626,100,10.62
444,2799855,1024,626,100,10.74
445,2799608,1024,626,100,6.41
446,2799957,1024,626,100,52.56
447,2799763,1024,626,100,23.02
448,2799959,1024,626,100,50.34
449,2799806,1024,626,100,13.61
450,2799608,1024,626,100,20.02
451,2799755,1024,626,100,41.46
452,2799404,1024,626,100,303.16
453,2800443,1024,626,100,11.30
454,2801024,1024,626,100,40.17
455,2800341,1024,626,100,798.98
456,2800182,1024,626,100,20.30
457,2799465,1024,626,100,6.37
458,2800509,1024,626,100,26.41
459,2801281,1024,626,100,129.14
460,2800631,1024,626,100,24.39
461,2800047,1024,626,100,16.54
462,2800223,1024,626,100,58.63
463,2799993,1024,626,100,18.05
464,2800331,1024,626,100,30.16
465,2799314,1024,626,100,8.11
466,2799934,1024,626,100,23.25
467,2800429,1024,626,100,8.63
468,2800879,1024,626,100,4.45
469,2800863,1024,626,100,61.85
470,2799674,1024,626,100,33.01
471,2801254,1024,626,100,36.16
472,2800623,1024,626,100,31.61
473,2800336,1024,626,100,14.08
474,2800410,1024,626,100,28.81
475,2800833,1024,626,100,36.20
476,2800227,1024,626,100,27.67
477,2799600,1024,626,100,29.68
478,2800172,1024,626,100,12.38
479,2800063,1024,626,100,14.72
480,2800212,1024,626,100,68.48
481,2799428,1024,626,100,45.47
482,2799535,1024,626,100,173.08
483,2800074,1024,626,100,48.95
484,2800223,1024,626,100,56.26
485,2799850,1024,626,100,15.80
486,2800223,1024,626,100,111.68
487,2800349,1024,626,100,14.80
488,2799183,1024,626,100,16.81
489,2799806,1024,626,100,13.19
490,2799522,1024,626,100,7.11
491,2800407,1024,626,100,19.55
492,2799880,1024,626,100,10.43
493,2800682,1024,626,100,14.68
494,2800358,1024,626,100,10.94
495,2799902,1024,626,100,38.60
496,2800001,1024,626,100,17.32
497,2800025,1024,626,100,11.01
498,2799533,1024,626,100,15.15
499,2799521,1024,626,100,35.49
500,2799866,1024,626,100,18.08
501,2802242,1024,626,100,52.00
502,2800808,1024,626,100,38.16
503,2800485,1024,626,100,6.64
504,2800485,1024,626,100,34.12
505,2800676,1024,626,100,16.60
506,2800173,1024,626,100,10.41
507,2853875,1024,626,100,45.95
508,2801237,1024,626,100,27.97
509,2800452,1024,626,100,8.42
510,2800275,1024,626,100,16.75
511,2800497,1024,626,100,21.74
512,2799507,1024,626,100,9.86
513,2800532,1024,626,100,45.69
514,2800333,1024,626,100,4.97
515,2800546,1024,626,100,11.94
516,2799735,1024,626,100,4.25
517,2798812,1024,626,100,27.42
518,2799859,1024,626,100,63.29
519,2800895,1024,626,100,24.04
520,2799444,1024,626,100,3.72
521,2800655,1024,626,100,12.48
522,2799953,1024,626,100,13.12
523,2799501,1024,626,100,118.69
524,2799645,1024,626,100,10.02
525,2799589,1024,626,100,4.16
526,2800747,1024,626,100,21.73
527,2799728,1024,626,100,47.21
528,2799738,1024,626,100,59.15
529,2800305,1024,626,100,13.01
530,2800770,1024,626,100,18.53
531,2800640,1024,626,100,19.81
532,2799748,1024,626,100,15.18
533,2800416,1024,626,100,38.47
534,2800276,1024,626,100,12.41
535,2798899,1024,626,100,3.17
536,2800511,1024,626,100,33.41
537,2800275,1024,626,100,59.13
538,2799846,1024,626,100,44.75
539,2800731,1024,626,100,3.26
540,2800552,1024,626,100,19.13
541,2801355,1024,626,100,1,365.68
542,2800822,1024,626,100,36.22
543,2800271,1024,626,100,23.14
544,2799954,1024,626,100,14.98
545,2799924,1024,626,100,38.11
546,2802309,1024,626,100,40.20
547,2800621,1024,626,100,12.10
548,2799269,1024,626,100,59.71
549,2801478,1024,626,100,29.17
550,2800453,1024,626,100,39.03
551,2800666,1024,626,100,46.87
552,2799949,1024,626,100,8.26
553,2800637,1024,626,100,70.46
554,2800457,1024,626,100,3.83
555,2800184,1024,626,100,37.91
556,2800203,1024,626,100,36.06
557,2800719,1024,626,100,5.16
558,2799958,1024,626,100,14.69
559,2799768,1024,626,100,43.14
560,2800109,1024,626,100,36.58
561,2800247,1024,626,100,3.99
562,2799977,1024,626,100,71.07
563,2799504,1024,626,100,29.00
564,2800936,1024,626,100,23.68
565,2800949,1024,626,100,16.75
566,2799566,1024,626,100,26.79
567,2800136,1024,626,100,4.40
568,2801195,1024,626,100,39.97
569,2800530,1024,626,100,16.27
