Index,Exec_time,stride,inner_cycle
94,11900359,1024,512
95,11897250,1024,512
96,11902835,1024,512
97,12494488,1024,512
98,11945333,1024,512
99,11945415,1024,512
100,11893042,1024,512
101,11902512,1024,512
102,11902880,1024,512
103,11893481,1024,512
104,11894869,1024,512
105,11896291,1024,512
106,12159339,1024,512
107,11917484,1024,512
108,11843125,1024,512
109,11854567,1024,512
110,11855263,1024,512
111,11900657,1024,512
112,11841478,1024,512
113,11851574,1024,512
114,11842658,1024,512
115,11900281,1024,512
116,11855613,1024,512
117,11856482,1024,512
118,11842258,1024,512
119,11855009,1024,512
120,12977682,1024,512
121,11887477,1024,512
122,11853415,1024,512
123,11855112,1024,512
124,11898154,1024,512
125,11849113,1024,512
126,11851293,1024,512
127,11842010,1024,512
128,11844689,1024,512
129,11903126,1024,512
130,11857322,1024,512
131,11847325,1024,512
132,11855183,1024,512
133,12113219,1024,512
134,11844609,1024,512
135,11844245,1024,512
136,11845208,1024,512
137,11859317,1024,512
138,12114002,1024,512
139,11855576,1024,512
140,11852428,1024,512
141,11854062,1024,512
142,11842485,1024,512
143,12181856,1024,512
144,11845072,1024,512
145,12690916,1024,512
146,11841692,1024,512
147,11930989,1024,512
148,11843792,1024,512
149,11842734,1024,512
150,11851800,1024,512
151,11843222,1024,512
152,12093580,1024,512
153,11846096,1024,512
154,11851464,1024,512
155,11842096,1024,512
156,12637668,1024,512
157,11840935,1024,512
158,11842694,1024,512
159,11849817,1024,512
160,11841864,1024,512
161,12172871,1024,512
162,11853722,1024,512
163,11843281,1024,512
164,11843226,1024,512
165,12251608,1024,512
166,11911121,1024,512
167,11920887,1024,512
168,11946284,1024,512
169,11920953,1024,512
170,12186073,1024,512
171,11922276,1024,512
172,11970225,1024,512
173,11922382,1024,512
174,12209702,1024,512
175,11911964,1024,512
176,11932414,1024,512
177,11922285,1024,512
178,11911916,1024,512
179,11970863,1024,512
180,11911933,1024,512
181,11921899,1024,512
182,11912136,1024,512
183,11970215,1024,512
184,11922813,1024,512
185,11911568,1024,512
186,11912157,1024,512
187,11922558,1024,512
188,12805353,1024,512
189,11921972,1024,512
190,11922028,1024,512
191,12376349,1024,512
192,11921581,1024,512
