ID,Exec_time,Random_num
340,353.033508,676429144
341,352.842072,603000017
342,353.027161,740625966
343,352.772308,85834185
344,352.545380,770985494
345,353.666840,679569950
346,353.126099,180513212
347,353.011780,25793118
348,352.545074,758319782
349,351.809906,171311771
350,352.621307,508790032
351,353.873108,111432609
352,351.402252,20172544
353,352.878326,185716258
354,352.849701,20222349
355,352.892487,195083609
356,352.854340,220335644
357,352.451324,23509163
358,352.876465,170185805
359,352.325073,672854232
360,352.367126,547350978
361,352.451019,75923559
362,351.850983,477057736
363,352.810699,545098428
364,352.968872,244723877
365,353.690552,400481478
366,351.347931,13236736
367,352.990814,444543724
368,352.800110,578938732
369,352.807281,345162438
370,352.436737,505723512
371,352.510986,679280790
372,347.220520,798231784
373,346.308472,249083849
374,345.839844,55537146
375,346.262878,255636605
376,346.259125,608862249
377,345.735352,360922324
378,346.260742,565760962
379,345.742371,438205186
380,346.244934,144483237
381,346.329285,347354439
382,345.727905,538403225
383,346.256378,458898571
384,345.878204,557858664
385,345.732422,735882006
386,346.227142,762857786
387,346.274231,130556461
388,345.715149,118220217
389,346.268951,524015262
390,346.280884,5101676
391,345.826294,416371225
392,345.673065,793118480
393,346.212128,503794235
394,345.732819,319617725
395,346.243530,366057703
396,346.233032,554732949
397,345.311951,429856816
398,345.717041,78812982
399,346.232635,643432987
400,346.229553,182920559
401,346.315186,114620165
402,345.735474,635237874
403,346.233246,29922188
404,345.747772,401308624
405,345.175293,433639952
406,346.204529,242065158
407,346.296387,598871714
408,345.720520,174060395
409,346.224945,512262404
410,346.287781,575337823
411,345.735046,620532515
412,346.297516,715727901
413,346.261475,748968913
414,345.866333,12555809
415,346.247925,625658915
416,346.258301,636928484
417,345.768402,676713999
418,346.287598,664954621
419,346.119690,453498807
420,345.816589,100993308
421,346.275665,452917110
422,346.250366,634045574
423,346.258545,672091778
424,346.244812,546166278
425,345.207611,770222320
426,346.220276,618854034
427,346.252502,92766250
428,345.702850,660453055
429,346.250946,195698767
430,346.226105,252073436
431,345.749603,209414697
432,346.195068,73715649
433,344.785797,619139136
434,345.702545,155705053
435,344.776672,584142688
436,346.201111,638873227
437,345.813293,409389236
438,346.242584,721481519
439,346.172394,264766585
440,345.687103,726939577
441,346.234833,39152265
442,346.254578,755591791
443,345.815918,82027566
444,345.671722,158383800
445,346.228302,750264369
446,346.232483,581769811
447,344.803772,10398336
448,345.147644,23679976
449,346.179749,16689401
450,346.282959,735595661
451,345.728210,257027583
452,346.203308,432503589
453,346.278473,117877319
454,345.698212,140122395
455,345.665497,435753360
456,346.283112,507688295
457,345.740875,431704849
458,346.257477,628709969
459,346.257721,635878207
460,345.853271,381357374
461,346.279358,190850321
462,346.237305,487529507
463,345.755402,597373678
464,346.256958,695512518
465,346.257141,46445458
466,345.822021,468553010
467,346.290649,533994389
468,346.221893,608719003
469,346.271759,5778149
470,346.333221,747424889
471,345.776367,533600999
472,345.691833,129527608
473,346.346924,405308253
474,345.718903,411411042
475,346.227753,5211893
476,346.301483,752173578
477,345.723755,181890111
478,346.234100,525579753
479,346.352417,723866372
480,345.170502,687758920
481,346.237091,486405982
482,346.256775,702946630
483,345.856140,634760332
484,346.267395,452942031
485,346.231293,587208126
486,345.792053,462534275
487,346.254486,527928261
488,346.304047,470577236
489,345.818329,70248363
490,346.414337,397217081
491,346.537659,429295388
492,346.277588,716656626
493,346.291931,363429577
494,345.723328,308007462
495,346.222412,439202839
496,346.279297,513133332
497,345.732910,608054247
498,345.628998,269685176
499,344.820007,515092608
500,345.737732,711133239
501,344.823944,424006592
502,346.271912,382298023
503,345.725677,190018651
504,346.261841,105642514
505,345.777893,288030416
506,344.339722,567994240
507,346.262604,666766151
508,346.273926,28601420
509,345.749176,341625514
510,345.723969,789459560
511,345.700256,540766920
512,345.838074,174966132
513,346.277130,676641371
514,345.664093,88966066
515,345.686707,767000104
516,346.273834,452014335
517,345.169342,568855664
518,346.212097,41584017
519,346.378632,623852553
520,345.136230,111330888
521,346.252869,170444855
522,346.336487,155990230
523,345.756195,70161471
524,346.207733,148132325
525,346.279297,301083670
526,345.762665,780796365
527,346.231354,390887403
528,346.256073,126557479
529,345.857178,756651569
530,346.262451,464133028
531,346.244751,219150892
532,345.171539,447725816
533,346.252167,786671809
534,346.252106,126720524
535,345.256775,61273968
536,346.265106,704373933
537,345.746063,207139839
538,346.265839,37914516
539,346.292419,593760411
540,345.160767,411841736
541,346.298950,349941943
542,346.270844,573050614
543,345.740173,54139034
544,346.272186,281207967
545,345.719788,731708408
546,345.706146,274619074
547,346.256866,60103742
