No.2/13 | 111:   l2_tex_hit_rate      L2 Cache Hit Rate      99.33%      99.33%      99.33%
No.2/13 | 112:   l2_tex_hit_rate      L2 Cache Hit Rate      99.32%      99.32%      99.32%
No.2/13 | 113:   l2_tex_hit_rate      L2 Cache Hit Rate      99.32%      99.32%      99.32%
No.2/13 | 114:   l2_tex_hit_rate      L2 Cache Hit Rate      99.61%      99.61%      99.61%
No.2/13 | 115:   l2_tex_hit_rate      L2 Cache Hit Rate      99.59%      99.59%      99.59%
No.2/13 | 116:   l2_tex_hit_rate      L2 Cache Hit Rate      99.60%      99.60%      99.60%
No.2/13 | 117:   l2_tex_hit_rate      L2 Cache Hit Rate      99.59%      99.59%      99.59%
No.2/13 | 118:   l2_tex_hit_rate      L2 Cache Hit Rate      99.60%      99.60%      99.60%
No.2/13 | 119:   l2_tex_hit_rate      L2 Cache Hit Rate      99.60%      99.60%      99.60%
No.2/13 | 120:   l2_tex_hit_rate      L2 Cache Hit Rate      99.58%      99.58%      99.58%
No.2/13 | 121:   l2_tex_hit_rate      L2 Cache Hit Rate      99.60%      99.60%      99.60%
No.2/13 | 122:   l2_tex_hit_rate      L2 Cache Hit Rate      99.62%      99.62%      99.62%
No.2/13 | 123:   l2_tex_hit_rate      L2 Cache Hit Rate      99.32%      99.32%      99.32%
No.2/13 | 124:   l2_tex_hit_rate      L2 Cache Hit Rate      99.32%      99.32%      99.32%
No.2/13 | 125:   l2_tex_hit_rate      L2 Cache Hit Rate      99.56%      99.56%      99.56%
No.2/13 | 126:   l2_tex_hit_rate      L2 Cache Hit Rate      99.60%      99.60%      99.60%
No.2/13 | 127:   l2_tex_hit_rate      L2 Cache Hit Rate      98.99%      98.99%      98.99%
No.2/13 | 128:   l2_tex_hit_rate      L2 Cache Hit Rate      99.65%      99.65%      99.65%
No.2/13 | 129:   l2_tex_hit_rate      L2 Cache Hit Rate      99.59%      99.59%      99.59%
No.2/13 | 130:   l2_tex_hit_rate      L2 Cache Hit Rate      99.32%      99.32%      99.32%
No.2/13 | 131:   l2_tex_hit_rate      L2 Cache Hit Rate      99.60%      99.60%      99.60%
No.2/13 | 132:   l2_tex_hit_rate      L2 Cache Hit Rate      99.32%      99.32%      99.32%
No.2/13 | 133:   l2_tex_hit_rate      L2 Cache Hit Rate      99.62%      99.62%      99.62%
No.2/13 | 134:   l2_tex_hit_rate      L2 Cache Hit Rate      99.61%      99.61%      99.61%
No.2/13 | 135:   l2_tex_hit_rate      L2 Cache Hit Rate      99.59%      99.59%      99.59%
No.2/13 | 136:   l2_tex_hit_rate      L2 Cache Hit Rate      99.58%      99.58%      99.58%
No.2/13 | 137:   l2_tex_hit_rate      L2 Cache Hit Rate      99.62%      99.62%      99.62%
No.2/13 | 138:   l2_tex_hit_rate      L2 Cache Hit Rate      99.60%      99.60%      99.60%
No.2/13 | 139:   l2_tex_hit_rate      L2 Cache Hit Rate      99.70%      99.70%      99.70%
No.2/13 | 140:   l2_tex_hit_rate      L2 Cache Hit Rate      99.59%      99.59%      99.59%
No.2/13 | 141:   l2_tex_hit_rate      L2 Cache Hit Rate      99.60%      99.60%      99.60%
No.2/13 | 142:   l2_tex_hit_rate      L2 Cache Hit Rate      99.62%      99.62%      99.62%
No.2/13 | 143:   l2_tex_hit_rate      L2 Cache Hit Rate      99.60%      99.60%      99.60%
No.2/13 | 144:   l2_tex_hit_rate      L2 Cache Hit Rate      99.32%      99.32%      99.32%
No.2/13 | 145:   l2_tex_hit_rate      L2 Cache Hit Rate      99.32%      99.32%      99.32%
No.2/13 | 146:   l2_tex_hit_rate      L2 Cache Hit Rate      99.15%      99.15%      99.15%
No.2/13 | 147:   l2_tex_hit_rate      L2 Cache Hit Rate      99.60%      99.60%      99.60%
No.2/13 | 148:   l2_tex_hit_rate      L2 Cache Hit Rate      99.32%      99.32%      99.32%
No.2/13 | 149:   l2_tex_hit_rate      L2 Cache Hit Rate      99.61%      99.61%      99.61%
No.2/13 | 150:   l2_tex_hit_rate      L2 Cache Hit Rate      99.32%      99.32%      99.32%
No.2/13 | 151:   l2_tex_hit_rate      L2 Cache Hit Rate      99.62%      99.62%      99.62%
No.2/13 | 152:   l2_tex_hit_rate      L2 Cache Hit Rate      99.61%      99.61%      99.61%
No.2/13 | 153:   l2_tex_hit_rate      L2 Cache Hit Rate      99.62%      99.62%      99.62%
No.2/13 | 154:   l2_tex_hit_rate      L2 Cache Hit Rate      99.62%      99.62%      99.62%
No.2/13 | 155:   l2_tex_hit_rate      L2 Cache Hit Rate      99.62%      99.62%      99.62%
No.2/13 | 156:   l2_tex_hit_rate      L2 Cache Hit Rate      99.00%      99.00%      99.00%
No.2/13 | 157:   l2_tex_hit_rate      L2 Cache Hit Rate      99.60%      99.60%      99.60%
No.2/13 | 158:   l2_tex_hit_rate      L2 Cache Hit Rate      99.64%      99.64%      99.64%
No.2/13 | 159:   l2_tex_hit_rate      L2 Cache Hit Rate      99.32%      99.32%      99.32%
No.2/13 | 160:   l2_tex_hit_rate      L2 Cache Hit Rate      99.62%      99.62%      99.62%
No.2/13 | 161:   l2_tex_hit_rate      L2 Cache Hit Rate      99.60%      99.60%      99.60%
No.2/13 | 162:   l2_tex_hit_rate      L2 Cache Hit Rate      98.99%      98.99%      98.99%
No.2/13 | 163:   l2_tex_hit_rate      L2 Cache Hit Rate      99.57%      99.57%      99.57%
No.2/13 | 164:   l2_tex_hit_rate      L2 Cache Hit Rate      99.60%      99.60%      99.60%
No.2/13 | 165:   l2_tex_hit_rate      L2 Cache Hit Rate      99.60%      99.60%      99.60%
No.2/13 | 166:   l2_tex_hit_rate      L2 Cache Hit Rate      99.32%      99.32%      99.32%
No.2/13 | 167:   l2_tex_hit_rate      L2 Cache Hit Rate      99.33%      99.33%      99.33%
No.2/13 | 168:   l2_tex_hit_rate      L2 Cache Hit Rate      99.60%      99.60%      99.60%
No.2/13 | 169:   l2_tex_hit_rate      L2 Cache Hit Rate      99.33%      99.33%      99.33%
No.2/13 | 170:   l2_tex_hit_rate      L2 Cache Hit Rate      99.32%      99.32%      99.32%
No.2/13 | 171:   l2_tex_hit_rate      L2 Cache Hit Rate      99.57%      99.57%      99.57%
No.2/13 | 172:   l2_tex_hit_rate      L2 Cache Hit Rate      99.59%      99.59%      99.59%
No.2/13 | 173:   l2_tex_hit_rate      L2 Cache Hit Rate      99.00%      99.00%      99.00%
No.2/13 | 174:   l2_tex_hit_rate      L2 Cache Hit Rate      99.59%      99.59%      99.59%
No.2/13 | 175:   l2_tex_hit_rate      L2 Cache Hit Rate      99.62%      99.62%      99.62%
No.2/13 | 176:   l2_tex_hit_rate      L2 Cache Hit Rate      99.33%      99.33%      99.33%
No.2/13 | 177:   l2_tex_hit_rate      L2 Cache Hit Rate      99.33%      99.33%      99.33%
No.2/13 | 178:   l2_tex_hit_rate      L2 Cache Hit Rate      99.59%      99.59%      99.59%
No.2/13 | 179:   l2_tex_hit_rate      L2 Cache Hit Rate      99.34%      99.34%      99.34%
No.2/13 | 180:   l2_tex_hit_rate      L2 Cache Hit Rate      99.30%      99.30%      99.30%
No.2/13 | 181:   l2_tex_hit_rate      L2 Cache Hit Rate      99.62%      99.62%      99.62%
No.2/13 | 182:   l2_tex_hit_rate      L2 Cache Hit Rate      99.62%      99.62%      99.62%
No.2/13 | 183:   l2_tex_hit_rate      L2 Cache Hit Rate      99.32%      99.32%      99.32%
No.2/13 | 184:   l2_tex_hit_rate      L2 Cache Hit Rate      99.32%      99.32%      99.32%
No.2/13 | 185:   l2_tex_hit_rate      L2 Cache Hit Rate      99.64%      99.64%      99.64%
No.2/13 | 186:   l2_tex_hit_rate      L2 Cache Hit Rate      99.14%      99.14%      99.14%
No.2/13 | 187:   l2_tex_hit_rate      L2 Cache Hit Rate      99.61%      99.61%      99.61%
No.2/13 | 188:   l2_tex_hit_rate      L2 Cache Hit Rate      99.62%      99.62%      99.62%
No.2/13 | 189:   l2_tex_hit_rate      L2 Cache Hit Rate      99.61%      99.61%      99.61%
No.2/13 | 190:   l2_tex_hit_rate      L2 Cache Hit Rate      99.34%      99.34%      99.34%
No.2/13 | 191:   l2_tex_hit_rate      L2 Cache Hit Rate      99.60%      99.60%      99.60%
No.2/13 | 192:   l2_tex_hit_rate      L2 Cache Hit Rate      99.32%      99.32%      99.32%
No.2/13 | 193:   l2_tex_hit_rate      L2 Cache Hit Rate      99.63%      99.63%      99.63%
No.2/13 | 194:   l2_tex_hit_rate      L2 Cache Hit Rate      99.70%      99.70%      99.70%
No.2/13 | 195:   l2_tex_hit_rate      L2 Cache Hit Rate      99.61%      99.61%      99.61%
No.2/13 | 196:   l2_tex_hit_rate      L2 Cache Hit Rate      99.60%      99.60%      99.60%
No.2/13 | 197:   l2_tex_hit_rate      L2 Cache Hit Rate      99.58%      99.58%      99.58%
No.2/13 | 198:   l2_tex_hit_rate      L2 Cache Hit Rate      99.60%      99.60%      99.60%
No.2/13 | 199:   l2_tex_hit_rate      L2 Cache Hit Rate      99.31%      99.31%      99.31%
No.2/13 | 200:   l2_tex_hit_rate      L2 Cache Hit Rate      99.60%      99.60%      99.60%
No.2/13 | 201:   l2_tex_hit_rate      L2 Cache Hit Rate      99.60%      99.60%      99.60%
No.2/13 | 202:   l2_tex_hit_rate      L2 Cache Hit Rate      99.33%      99.33%      99.33%
No.2/13 | 203:   l2_tex_hit_rate      L2 Cache Hit Rate      99.60%      99.60%      99.60%
No.2/13 | 204:   l2_tex_hit_rate      L2 Cache Hit Rate      99.32%      99.32%      99.32%
No.2/13 | 205:   l2_tex_hit_rate      L2 Cache Hit Rate      99.61%      99.61%      99.61%
No.2/13 | 206:   l2_tex_hit_rate      L2 Cache Hit Rate      99.62%      99.62%      99.62%
No.2/13 | 207:   l2_tex_hit_rate      L2 Cache Hit Rate      99.62%      99.62%      99.62%
No.2/13 | 208:   l2_tex_hit_rate      L2 Cache Hit Rate      99.32%      99.32%      99.32%
No.2/13 | 209:   l2_tex_hit_rate      L2 Cache Hit Rate      99.60%      99.60%      99.60%
No.2/13 | 210:   l2_tex_hit_rate      L2 Cache Hit Rate      99.64%      99.64%      99.64%
No.2/13 | 211:   l2_tex_hit_rate      L2 Cache Hit Rate      99.62%      99.62%      99.62%
No.2/13 | 212:   l2_tex_hit_rate      L2 Cache Hit Rate      99.58%      99.58%      99.58%
No.2/13 | 213:   l2_tex_hit_rate      L2 Cache Hit Rate      99.62%      99.62%      99.62%
No.2/13 | 214:   l2_tex_hit_rate      L2 Cache Hit Rate      99.31%      99.31%      99.31%
No.2/13 | 215:   l2_tex_hit_rate      L2 Cache Hit Rate      99.61%      99.61%      99.61%
No.2/13 | 216:   l2_tex_hit_rate      L2 Cache Hit Rate      99.64%      99.64%      99.64%
No.2/13 | 217:   l2_tex_hit_rate      L2 Cache Hit Rate      99.60%      99.60%      99.60%
No.2/13 | 218:   l2_tex_hit_rate      L2 Cache Hit Rate      99.61%      99.61%      99.61%
No.2/13 | 219:   l2_tex_hit_rate      L2 Cache Hit Rate      99.61%      99.61%      99.61%
No.2/13 | 220:   l2_tex_hit_rate      L2 Cache Hit Rate      99.59%      99.59%      99.59%
No.2/13 | 221:   l2_tex_hit_rate      L2 Cache Hit Rate      99.60%      99.60%      99.60%
No.2/13 | 222:   l2_tex_hit_rate      L2 Cache Hit Rate      99.64%      99.64%      99.64%
No.2/13 | 223:   l2_tex_hit_rate      L2 Cache Hit Rate      99.32%      99.32%      99.32%
No.2/13 | 224:   l2_tex_hit_rate      L2 Cache Hit Rate      99.60%      99.60%      99.60%
No.2/13 | 225:   l2_tex_hit_rate      L2 Cache Hit Rate      98.99%      98.99%      98.99%
No.2/13 | 226:   l2_tex_hit_rate      L2 Cache Hit Rate      99.62%      99.62%      99.62%
No.2/13 | 227:   l2_tex_hit_rate      L2 Cache Hit Rate      99.61%      99.61%      99.61%
No.2/13 | 228:   l2_tex_hit_rate      L2 Cache Hit Rate      99.61%      99.61%      99.61%
No.2/13 | 229:   l2_tex_hit_rate      L2 Cache Hit Rate      99.61%      99.61%      99.61%
No.2/13 | 230:   l2_tex_hit_rate      L2 Cache Hit Rate      99.61%      99.61%      99.61%
No.2/13 | 231:   l2_tex_hit_rate      L2 Cache Hit Rate      99.61%      99.61%      99.61%
No.2/13 | 232:   l2_tex_hit_rate      L2 Cache Hit Rate      99.60%      99.60%      99.60%
No.2/13 | 233:   l2_tex_hit_rate      L2 Cache Hit Rate      99.32%      99.32%      99.32%
No.2/13 | 234:   l2_tex_hit_rate      L2 Cache Hit Rate      99.60%      99.60%      99.60%
No.2/13 | 235:   l2_tex_hit_rate      L2 Cache Hit Rate      99.32%      99.32%      99.32%
No.2/13 | 236:   l2_tex_hit_rate      L2 Cache Hit Rate      99.59%      99.59%      99.59%
No.2/13 | 237:   l2_tex_hit_rate      L2 Cache Hit Rate      99.61%      99.61%      99.61%
No.2/13 | 238:   l2_tex_hit_rate      L2 Cache Hit Rate      99.32%      99.32%      99.32%
No.2/13 | 239:   l2_tex_hit_rate      L2 Cache Hit Rate      99.63%      99.63%      99.63%
No.2/13 | 240:   l2_tex_hit_rate      L2 Cache Hit Rate      99.62%      99.62%      99.62%
No.2/13 | 241:   l2_tex_hit_rate      L2 Cache Hit Rate      99.60%      99.60%      99.60%
No.2/13 | 242:   l2_tex_hit_rate      L2 Cache Hit Rate      99.61%      99.61%      99.61%
No.2/13 | 243:   l2_tex_hit_rate      L2 Cache Hit Rate      99.60%      99.60%      99.60%
No.2/13 | 244:   l2_tex_hit_rate      L2 Cache Hit Rate      99.59%      99.59%      99.59%
No.2/13 | 245:   l2_tex_hit_rate      L2 Cache Hit Rate      99.61%      99.61%      99.61%
No.2/13 | 246:   l2_tex_hit_rate      L2 Cache Hit Rate      99.63%      99.63%      99.63%
No.2/13 | 247:   l2_tex_hit_rate      L2 Cache Hit Rate      99.59%      99.59%      99.59%
No.2/13 | 248:   l2_tex_hit_rate      L2 Cache Hit Rate      99.31%      99.31%      99.31%
No.2/13 | 249:   l2_tex_hit_rate      L2 Cache Hit Rate      99.60%      99.60%      99.60%
No.2/13 | 250:   l2_tex_hit_rate      L2 Cache Hit Rate      99.64%      99.64%      99.64%
No.2/13 | 251:   l2_tex_hit_rate      L2 Cache Hit Rate      99.62%      99.62%      99.62%
No.2/13 | 252:   l2_tex_hit_rate      L2 Cache Hit Rate      99.62%      99.62%      99.62%
No.2/13 | 253:   l2_tex_hit_rate      L2 Cache Hit Rate      99.62%      99.62%      99.62%
No.2/13 | 254:   l2_tex_hit_rate      L2 Cache Hit Rate      99.58%      99.58%      99.58%
No.2/13 | 255:   l2_tex_hit_rate      L2 Cache Hit Rate      99.56%      99.56%      99.56%
No.2/13 | 256:   l2_tex_hit_rate      L2 Cache Hit Rate      99.61%      99.61%      99.61%
No.2/13 | 257:   l2_tex_hit_rate      L2 Cache Hit Rate      99.60%      99.60%      99.60%
No.2/13 | 258:   l2_tex_hit_rate      L2 Cache Hit Rate      99.33%      99.33%      99.33%
